Company,Industry,Year,EBITDA,TotalProductImpact_Calculated,Affordability_Calculated,Underserved_Calculated,HealthSafety_Calculated,Effectiveness_Calculated,BasicNeed_Calculated,Addiction_Calculated,Pollutants_Calculated,Recycling_Calculated
Nestle,CPG,2018,19946100000,-19875238498,7262049867,90893138,-15628806,-18292651083,0,0,-8546687046,-373214568
Danone,CPG,2018,5259500000,-7844447219,566892820,226274922,-268756,-8343321509,0,0,-180015120,-114009576
Kraft Heinz,CPG,2018,7385000000,-6203823958,2476900443,67337402,-4629498035,-4002119531,0,0,-110580000,-5864238
Mondelez,CPG,2018,4587000000,-6856267055,0,0,-4442992223,-2254102218,0,0,-89019180,-70153434
Ajinomoto,CPG,2018,1361700000,-1714448243,512335788,0,-1456600320,-570415583,0,0,-149180058,-50588070
Hormel,CPG,2018,1300100000,-558879400,395781051,10823348,0,-965483799,0,0,0,0
Campbell,CPG,2018,1683000000,-1377305036,8095079,25813094,0,-1158178125,0,0,-187433442,-65601642
ConAgra,CPG,2018,1955300000,-5938954177,152118760,89030,-4400221728,-1690940238,0,0,0,0
Hershey,CPG,2018,2017700000,-2595880767,1029376970,0,0,-3625257737,0,0,0,0
Kellogg,CPG,2018,2405000000,-1113238419,1323190694,2993922,-255919681,-1560633574,0,0,-470090400,-152779380
General Mills,CPG,2018,3319000000,2594413865,3079289863,72888460,-30711659,-328271000,0,0,-150024000,-48757800
BMW GROUP,Auto,2015,15091600000,-518311961,0,145526310,400486139,0,0,0,-1298553973,234229564
BMW GROUP,Auto,2016,15142400000,609476153,0,156531492,307589027,1297378889,0,0,-1400001285,247978030
BMW GROUP,Auto,2017,15716600000,-96777984,0,163433039,255101466,658928501,0,0,-1428141246,253900255
BMW GROUP,Auto,2018,14646100000,-344794723,0,160140594,216977836,448838806,0,0,-1430809846,260057887
DAIMLER,Auto,2015,19800300000,-154241322,0,121359841,38560830,955210770,0,0,-1497677638,228304875
DAIMLER,Auto,2016,19854700000,-1193350722,0,104571159,-460280215,537435168,0,0,-1628109778,253032945
DAIMLER,Auto,2017,19848800000,-236962557,0,113465865,-353224432,1530713274,0,0,-1809307022,281389758
DAIMLER,Auto,2018,16744700000,-274006578,0,63709999,218902833,949357227,0,0,-1792414860,286438223
FIAT CHRYSLER AUTOMOBILES,Auto,2015,9022300000,-3914742226,0,181742823,,-1281860695,0,0,-3253812826,439188473
FIAT CHRYSLER AUTOMOBILES,Auto,2016,10723100000,-2611879820,0,158998274,277975053,-196292794,0,0,-3289552858,436992505
FIAT CHRYSLER AUTOMOBILES,Auto,2017,11770100000,-2970511621,0,181792806,323835439,-507087491,0,0,-3416447927,447395552
FIAT CHRYSLER AUTOMOBILES,Auto,2018,11711000000,-2918678750,0,181792806,119401077,-348732239,0,0,-3326236906,455096513
FORD MOTOR COMPANY,Auto,2015,16017000000,-1311390580,0,487019915,1888113339,0,0,0,-4370204624,683680790
FORD MOTOR COMPANY,Auto,2016,13080000000,-311049080,0,496174774,2033094485,865624837,0,0,-4382370124,676426948
FORD MOTOR COMPANY,Auto,2017,15168000000,-999525538,0,477616719,2219350591,0,0,0,-4343346459,646853610
FORD MOTOR COMPANY,Auto,2018,13467000000,-1505550221,0,385073768,1345427556,200353181,0,0,-4016867387,580462661
GENERAL MOTORS,Auto,2015,14233000000,-1812428553,0,1190050385,2520514159,146501931,0,0,-6732095792,1062600765
GENERAL MOTORS,Auto,2016,15089000000,-655887844,0,1174828282,2462055525,1358234869,0,0,-6724259478,1073252958
GENERAL MOTORS,Auto,2017,14948000000,-125883391,0,1212997137,2257011713,1742671361,0,0,-6310704596,972140994
GENERAL MOTORS,Auto,2018,13046000000,-976685039,0,1110986327,2177124477,375748909,0,0,-5480022773,839478021
HONDA MOTOR COMPANY,Auto,2015,11094100000,528000346,700867583,448484051,1205610217,245249865,0,0,-2504745958,432534588
HONDA MOTOR COMPANY,Auto,2016,9811500000,3840044157,712239230,501193423,3076683493,1787103639,0,0,-2684251360,447075732
HONDA MOTOR COMPANY,Auto,2017,12103000000,3033151724,1195269676,549358883,2954727681,525084043,0,0,-2659450397,468161839
HONDA MOTOR COMPANY,Auto,2018,15150600000,3689524428,1343172078,563672204,2876489151,1089486047,0,0,-2664388819,481093768
HYUNDAI MOTOR COMPANY,Auto,2015,7319800000,2708643482,3388100079,,1579804381,108049620,0,0,-2816329601,449019002
HYUNDAI MOTOR COMPANY,Auto,2016,7481400000,2552312713,2871354207,,1718042445,217793854,0,0,-2701240059,446362267
HYUNDAI MOTOR COMPANY,Auto,2017,6013200000,3071892933,2544459362,475648008,1370833326,720704981,0,0,-2445945887,406193143
HYUNDAI MOTOR COMPANY,Auto,2018,4219500000,2789150602,2754013845,490660182,1495618531,102213973,0,0,-2465983401,412627472
KIA MOTORS,Auto,2015,3305000000,1830443630,2228354525,170244682,962441042,-117676393,0,0,-1657168120,244247895
KIA MOTORS,Auto,2016,3629500000,2016152369,2420184327,194732048,870404464,0,0,0,-1729824028,260655559
KIA MOTORS,Auto,2017,2202700000,2239108028,2050808222,163035540,971969509,347656044,0,0,-1528658432,234297145
KIA MOTORS,Auto,2018,2705100000,1300503078,1702921419,187848575,689376583,0,0,0,-1521254166,241610668
MAZDA,Auto,2015,2572700000,731549715,436242745,117752509,691321852,72955838,0,0,-719889825,133166596
MAZDA,Auto,2016,2894500000,758272124,546953950,111874278,657280273,79108614,0,0,-781091888,144146897
MAZDA,Auto,2017,1970100000,778879131,460573207,124323460,610198422,244480291,0,0,-807672963,146976716
MAZDA,Auto,2018,2209300000,744907560,375383294,137105709,842077129,85807687,0,0,-855843645,160377385
NISSAN MOTOR COMPANY,Auto,2015,9289600000,-261703812,1526037080,189740561,955005753,-528059802,0,0,-2898295003,493867599
NISSAN MOTOR COMPANY,Auto,2016,11580500000,599869953,1798812134,183549845,862366036,274408145,0,0,-3034090857,514824650
NISSAN MOTOR COMPANY,Auto,2017,10752800000,-29052073,1742449754,186019325,451274616,284178928,0,0,-3223429298,530454602
NISSAN MOTOR COMPANY,Auto,2018,9128300000,234819026,1952120617,185224549,377612729,266607138,0,0,-3052594380,505848373
GROUPE PSA,Auto,2015,5311400000,678632129,1030252932,249917397,,,0,0,-845888910,244350710
GROUPE PSA,Auto,2016,4985000000,2154681725,1145945753,273752029,1356535005,,0,0,-877963777,256412715
GROUPE PSA,Auto,2017,5729000000,2098484504,1034236836,281371941,1527045925,,0,0,-1039414888,295244689
GROUPE PSA,Auto,2018,7495000000,1385341099,906612683,171831870,1195260650,,0,0,-1205827139,317463034
SUBARU,Auto,2015,4675500000,377549243,0,21796007,567777736,179588201,0,0,-513892657,122279956
SUBARU,Auto,2016,6040500000,542308768,0,21563586,625192707,331114623,0,0,-570944002,135381855
SUBARU,Auto,2017,4690000000,491599981,0,18137477,538559494,394352804,0,0,-563228759,103778965
SUBARU,Auto,2018,4549000000,403569752,0,16854049,502946733,309708634,0,0,-524338002,98398339
TESLA,Auto,2018,1648000000,124099382,0,12491380,82412215,,0,0,0,29195788
TOYOTA MOTOR CORPORATION,Auto,2015,39378600000,90011823,0,352637618,2469210085,1672538476,0,0,-5407071551,1002697194
TOYOTA MOTOR CORPORATION,Auto,2016,42409600000,1399361131,0,362914101,2169223733,3134416843,0,0,-5222353292,955159746
TOYOTA MOTOR CORPORATION,Auto,2017,34131000000,1985129351,0,305720945,2253581548,3775621815,0,0,-5333002513,983207555
TOYOTA MOTOR CORPORATION,Auto,2018,39134900000,612073238,0,315683941,2447078492,2135900654,0,0,-5282034297,995444450
VOLKSWAGEN GROUP,Auto,2015,19123200000,-1034801783,0,483709130,2815667780,599294196,0,0,-5752450343,818977454
VOLKSWAGEN GROUP,Auto,2016,28974000000,-1192792375,0,474995942,3872927457,-626553792,0,0,-5881953977,967791995
VOLKSWAGEN GROUP,Auto,2017,29961000000,-1312836622,0,523731291,3426984998,0,0,0,-6137621432,874068520
VOLKSWAGEN GROUP,Auto,2018,37437100000,913566172,0,562397637,4133097402,1991051528,0,0,-6662041157,889060763
Capital One,Finance,2015,3859593132,2730258376,1805788094,1067364968,-1446276,-134804069,0,-432185,0,-6212156
Capital One,Finance,2016,3651904827,3269370644,2237707129,1067364968,-1598992,-27457831,0,-432475,0,-6212156
Capital One,Finance,2017,3630528252,2896603019,2627998329,1067364968,-895189916,103193408,0,-551615,0,-6212156
Capital One,Finance,2018,4839419219,3894915881,3668497529,1067364968,-864459314,30521831,0,-796977,0,-6212156
Synchrony,Finance,2015,3164635835,-1414064069,23958763,111122501,-777723910,-764382000,0,-205651,0,-6833772
Synchrony,Finance,2016,3271372429,-1353215056,23010309,116939377,-854482637,-631326000,0,-164608,0,-7191496
Synchrony,Finance,2017,3147925643,-1384457571,18762887,121251608,-981318829,-535227000,0,-469548,0,-7456688
Synchrony,Finance,2018,3364503741,-1615074169,18886598,125842778,-1062845730,-688116000,0,-805125,0,-8036690
Discover,Finance,2015,3122871482,4340230669,3425175950,1357078125,-615561263,178902000,0,-162337,0,-5201806
Discover,Finance,2016,3136070959,4200346399,3185771750,1519804688,-685619452,186030000,0,-138677,0,-5501910
Discover,Finance,2017,2998505303,3471704901,2601719750,1464539063,-794671157,205582000,0,-162914,0,-5301840
Discover,Finance,2018,3014384746,2419680953,1543376538,1665491016,-1092502494,309225000,0,-197124,0,-5711983
American Express,Finance,2015,5796178439,-604558181,0,0,-822931251,230644800,0,-487640,0,-11784090
American Express,Finance,2016,5007876646,-519903214,0,0,-803326053,295454400,0,-1037745,0,-10993816
American Express,Finance,2017,5180118311,-385365187,0,0,-851477678,479066800,0,-1670392,0,-11283917
American Express,Finance,2018,4969504933,-488771497,0,0,-950621905,476180000,0,-2925634,0,-11403958
American,Airlines,2015,8893000000,-2359095937,0,0,0,-2330526749,0,-28569188,0,0
American ,Airlines,2016,7678000000,-66755312,0,0,-1051642,-48582552,0,-17121118,0,0
American,Airlines,2017,7120000000,989288417,0,0,0,1346428924,0,-357140507,0,0
American,Airlines,2018,5916000000,-2162884211,0,0,0,338438880,0,-2501323091,0,0
Delta,Airlines,2015,8188000000,473168764,0,0,-525821,474347051,0,-652466,0,0
Delta,Airlines,2016,7952000000,521634815,0,0,0,534850778,0,-13215963,0,0
Delta,Airlines,2017,8210000000,661103390,0,0,0,1780426177,0,-1119322786,0,0
Delta,Airlines,2018,7583000000,-896593778,0,0,-2103284,1613773383,0,-2508263877,0,0
United,Airlines,2015,7218000000,-4139732559,0,0,0,-4115697683,0,-24034876,0,0
United,Airlines,2016,6958000000,-387056438,736081500,0,0,-1105570683,0,-17567255,0,0
United,Airlines,2017,5669000000,63060733,562278600,0,0,-485800049,0,-13417818,0,0
United,Airlines,2018,5713000000,-3073600748,0,0,-2103284,-1702656184,0,-1368841280,0,0
Southwest,Airlines,2015,4866000000,-80195841,0,0,0,971847327,0,-1052043168,0,0
Southwest,Airlines,2016,4818000000,424976993,0,0,0,1413898505,0,-988921511,0,0
Southwest,Airlines,2017,4383000000,202187122,0,0,0,1339138280,0,-1136951158,0,0
Southwest,Airlines,2018,4201000000,115576070,0,0,-525821,1459812748,0,-1343710857,0,0
Alaska,Airlines,2015,1650000000,457262424,270026000,0,0,234890502,0,-47654078,0,0
Alaska,Airlines,2016,1773000000,960766624,617669400,0,-525821,390777228,0,-47154183,0,0
Alaska,Airlines,2017,1696000000,1222027342,790303800,0,0,480773817,0,-49050275,0,0
Alaska,Airlines,2018,1191000000,1437190196,973179400,0,-1051642,593355848,0,-128293410,0,0
JetBlue,Airlines,2015,1506000000,341476759,0,0,0,434061597,0,-92584838,0,0
JetBlue,Airlines,2016,1621000000,678549259,342142500,0,-1051642,408847989,0,-71389588,0,0
JetBlue,Airlines,2017,1356000000,635363447,283440000,0,-1051642,426990205,0,-74015116,0,0
JetBlue,Airlines,2018,1124000000,434846633,213318000,0,0,291130760,0,-69602127,0,0
American Water,Water Utilities,2015,1512000000,-2355586202,,6162334,0,-3320018411,958269875,0,0,0
American Water,Water Utilities,2016,1617000000,-2702236232,,6213262,0,-3674638955,966189461,0,0,0
American Water,Water Utilities,2017,1720000000,-2644780432,,6290178,-150752070,-3478468713,978150174,0,0,0
American Water,Water Utilities,2018,1684000000,-2569580353,,7129973,-170887500,-3514564830,1108742004,0,0,0
Sabesp,Water Utilities,2015,757300000,912592384,,44338413,0,-1151240393,2019494365,0,0,0
Sabesp,Water Utilities,2016,843400000,612925459,,60899475,0,-1404111694,1956137679,0,0,0
Sabesp,Water Utilities,2017,964500000,995698946,,67401796,0,-1043679700,1971976850,0,0,0
Sabesp,Water Utilities,2018,1207500000,668087308,,60339093,0,-1380067806,1987816022,0,0,0
Severn Trent,Water Utilities,2015,1116800000,204419246,,4341384,0,-481006513,681084374,0,0,0
Severn Trent,Water Utilities,2016,1083100000,240345375,,6372551,0,-478789893,712762717,0,0,0
Severn Trent,Water Utilities,2017,1120400000,200870461,,10767389,0,-490981302,681084374,0,0,0
Severn Trent,Water Utilities,2018,1153500000,248390112,,8875739,0,-473248343,712762717,0,0,0
United Utilities,Water Utilities,2015,1405800000,-1911776499,,0,-1953000000,-513147501,554371002,0,0,0
United Utilities,Water Utilities,2016,1294400000,82182491,,737000,0,-488764682,570210174,0,0,0
United Utilities,Water Utilities,2017,1372100000,60762673,,3700000,0,-513147501,570210174,0,0,0
United Utilities,Water Utilities,2018,1424100000,64262673,,7200000,0,-513147501,570210174,0,0,0
